Fighter_name,Result,Record,Opponent,Method,Event,Date,Round,Time
Francisco Trinaldo,Win,13–2,Mike Rio,Submission (arm-triangle choke),UFC on FX: Belfort vs. Rockhold,"May 18, 2013",1,3:08
Francisco Trinaldo,Win,12–2,C.J. Keith,Submission (arm-triangle choke),UFC on FX: Belfort vs. Bisping,"January 19, 2013",2,1:50
Francisco Trinaldo,Loss,11–2,Gleison Tibau,Decision (unanimous),UFC 153,"October 13, 2012",3,5:00
Francisco Trinaldo,Win,11–1,Delson Heleno,TKO (punches),UFC 147,"June 23, 2012",1,4:21
Francisco Trinaldo,Win,10–1,Adriano Martins,Decision (majority),Jungle Fight 30,"July 30, 2011",3,5:00
Francisco Trinaldo,Win,9–1,Derrick Burnsed,KO (punch),Jungle Fight 28,"May 21, 2011",2,0:52
Francisco Trinaldo,Win,8–1,João Paulo Rodrigues,Decision (unanimous),Jungle Fight 25,"February 19, 2011",3,5:00
Francisco Trinaldo,Win,7–1,Bruno Lobato,Submission (anaconda choke),Jungle Fight 24,"December 18, 2010",1,2:24
Francisco Trinaldo,Loss,6–1,Iuri Alcântara,Submission (armbar),Jungle Fight 22,"September 18, 2010",2,2:24
Francisco Trinaldo,Win,6–0,Flavio Alvaro,TKO (punches),Jungle Fight 20,"May 22, 2010",2,4:01
Francisco Trinaldo,Win,5–0,Luiz Firmino,Submission (kneebar),Bitetti Combat MMA 6,"February 25, 2010",1,2:03
Francisco Trinaldo,Win,4–0,Junior Lava,TKO (punches and soccer kicks),Norofight 1,"August 8, 2009",1,0:12
Francisco Trinaldo,Win,3–0,Marcone Bezerra,Submission (arm-triangle choke),Hero's The Jungle 2,"April 7, 2008",1,N/A
Francisco Trinaldo,Win,2–0,Vinicius Dohrer,TKO (corner stoppage),Fight Club Tournament 3,"August 18, 2006",2,N/A
Francisco Trinaldo,Win,1–0,Edval Pedroso,Decision (unanimous),Fight Club Tournament 2,"May 13, 2006",3,5:00
Andrei Arlovski,Win,28–18 (2),Ben Rothwell,Decision (unanimous),UFC on ESPN: dos Anjos vs. Edwards,20 July 2019,3,5:00
Andrei Arlovski,Loss,27–18 (2),Augusto Sakai,Decision (split),UFC Fight Night: Jacaré vs. Hermansson,27 April 2019,3,5:00
Andrei Arlovski,NC,27–17 (2),Walt Harris,NC (overturned),UFC 232,29 December 2018,3,5:00
Andrei Arlovski,Loss,27–17 (1),Shamil Abdurakhimov,Decision (unanimous),UFC Fight Night: Hunt vs. Oliynyk,15 September 2018,3,5:00
Andrei Arlovski,Loss,27–16 (1),Tai Tuivasa,Decision (unanimous),UFC 225,9 June 2018,3,5:00
Andrei Arlovski,Win,27–15 (1),Stefan Struve,Decision (unanimous),UFC 222,3 March 2018,3,5:00
Andrei Arlovski,Win,26–15 (1),Júnior Albini,Decision (unanimous),UFC Fight Night: Poirier vs. Pettis,11 November 2017,3,5:00
Andrei Arlovski,Loss,25–15 (1),Marcin Tybura,Decision (unanimous),UFC Fight Night: Holm vs. Correia,17 June 2017,3,5:00
Andrei Arlovski,Loss,25–14 (1),Francis Ngannou,TKO (punches),UFC on Fox: Shevchenko vs. Peña,28 January 2017,1,1:32
Andrei Arlovski,Loss,25–13 (1),Josh Barnett,Submission (rear-naked choke),UFC Fight Night: Arlovski vs. Barnett,3 September 2016,3,2:53
Andrei Arlovski,Loss,25–12 (1),Alistair Overeem,TKO (crane kick and punches),UFC Fight Night: Overeem vs. Arlovski,8 May 2016,2,1:12
Andrei Arlovski,Loss,25–11 (1),Stipe Miocic,TKO (punches),UFC 195,2 January 2016,1,0:54
Andrei Arlovski,Win,25–10 (1),Frank Mir,Decision (unanimous),UFC 191,5 September 2015,3,5:00
Andrei Arlovski,Win,24–10 (1),Travis Browne,TKO (punches),UFC 187,23 May 2015,1,4:41
Andrei Arlovski,Win,23–10 (1),Antônio Silva,KO (punches),UFC Fight Night: Silva vs. Arlovski,13 September 2014,1,2:59
Andrei Arlovski,Win,22–10 (1),Brendan Schaub,Decision (split),UFC 174,14 June 2014,3,5:00
Andrei Arlovski,Win,21–10 (1),Andreas Kraniotakes,TKO (punches),Fight Nights: Battle in Minsk,29 November 2013,2,3:14
Andrei Arlovski,Win,20–10 (1),Mike Kyle,Decision (unanimous),WSOF 5,14 September 2013,3,5:00
Andrei Arlovski,Loss,19–10 (1),Anthony Johnson,Decision (unanimous),WSOF 2,23 March 2013,3,5:00
Andrei Arlovski,Win,19–9 (1),Mike Hayes,Decision (unanimous),Fight Nights: Battle of Moscow 9,16 December 2012,3,5:00
Andrei Arlovski,Win,18–9 (1),Devin Cole,TKO (punches),WSOF 1,3 November 2012,1,2:37
Andrei Arlovski,NC,17–9 (1),Tim Sylvia,NC (illegal soccer kicks),One FC 5: Pride of a Nation,31 August 2012,2,4:46
Andrei Arlovski,Win,17–9,Travis Fulton,KO (head kick),ProElite 2: Big Guns,5 November 2011,3,4:59
Andrei Arlovski,Win,16–9,Ray Lopez,TKO (punches),ProElite: Arlovski vs. Lopez,27 August 2011,3,2:43
Andrei Arlovski,Loss,15–9,Sergei Kharitonov,KO (punches),Strikeforce: Fedor vs. Silva,12 February 2011,1,2:49
Andrei Arlovski,Loss,15–8,Antônio Silva,Decision (unanimous),Strikeforce: Heavy Artillery,15 May 2010,3,5:00
Andrei Arlovski,Loss,15–7,Brett Rogers,TKO (punches),Strikeforce: Lawler vs. Shields,6 June 2009,1,0:22
Andrei Arlovski,Loss,15–6,Fedor Emelianenko,KO (punch),Affliction: Day of Reckoning,24 January 2009,1,3:14
Andrei Arlovski,Win,15–5,Roy Nelson,KO (punch),EliteXC: Heat,4 October 2008,2,1:46
Andrei Arlovski,Win,14–5,Ben Rothwell,KO (punches),Affliction: Banned,19 July 2008,3,1:13
Andrei Arlovski,Win,13–5,Jake O'Brien,TKO (punches),UFC 82,1 March 2008,2,4:17
Andrei Arlovski,Win,12–5,Fabrício Werdum,Decision (unanimous),UFC 70,21 April 2007,3,5:00
Andrei Arlovski,Win,11–5,Márcio Cruz,TKO (punches),UFC 66,30 December 2006,1,3:15
Andrei Arlovski,Loss,10–5,Tim Sylvia,Decision (unanimous),UFC 61,8 July 2006,5,5:00
Andrei Arlovski,Loss,10–4,Tim Sylvia,TKO (punches),UFC 59,15 April 2006,1,2:43
Andrei Arlovski,Win,10–3,Paul Buentello,KO (punch),UFC 55,7 October 2005,1,0:15
Andrei Arlovski,Win,9–3,Justin Eilers,TKO (punches),UFC 53,4 June 2005,1,4:10
Andrei Arlovski,Win,8–3,Tim Sylvia,Submission (achilles lock),UFC 51,5 February 2005,1,0:47
Andrei Arlovski,Win,7–3,Wesley Correira,TKO (punches),UFC 47,2 April 2004,2,1:15
Andrei Arlovski,Win,6–3,Vladimir Matyushenko,KO (punch),UFC 44,26 September 2003,1,2:10
Andrei Arlovski,Win,5–3,Ian Freeman,TKO (punches),UFC 40,22 November 2002,1,1:25
Andrei Arlovski,Loss,4–3,Pedro Rizzo,KO (punches),UFC 36,22 March 2002,3,1:45
Andrei Arlovski,Loss,4–2,Ricco Rodriguez,TKO (punches),UFC 32,29 June 2001,3,1:23
Andrei Arlovski,Win,4–1,Aaron Brink,Submission (armbar),UFC 28,17 November 2000,1,0:55
Andrei Arlovski,Win,3–1,John Dixson,KO (punches),Super Fight,13 May 2000,1,0:13
Andrei Arlovski,Win,2–1,Roman Zentsov,TKO (punches and knees),M-1 MFC: European Championship 2000,9 April 2000,1,1:18
Andrei Arlovski,Win,1–1,Michael Tielrooy,Submission (guillotine choke),M-1 MFC: European Championship 2000,9 April 2000,1,1:25
Andrei Arlovski,Loss,0–1,Viacheslav Datsik,KO (punch),M-1 MFC: World Championship 1999,9 April 1999,1,6:05
Ben Rothwell,Loss,36–12,Andrei Arlovski,Decision (unanimous),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",3,5:00
Ben Rothwell,Loss,36–11,Blagoy Ivanov,Decision (unanimous),UFC Fight Night: Lewis vs. dos Santos,"March 9, 2019",3,5:00
Ben Rothwell,Loss,36–10,Junior dos Santos,Decision (unanimous),UFC Fight Night: Rothwell vs. dos Santos,"April 10, 2016",5,5:00
Ben Rothwell,Win,36–9,Josh Barnett,Submission (guillotine choke),UFC on Fox: Johnson vs. Bader,"January 30, 2016",2,3:48
Ben Rothwell,Win,35–9,Matt Mitrione,Submission (guillotine choke),UFC Fight Night: Boetsch vs. Henderson,"June 6, 2015",1,1:54
Ben Rothwell,Win,34–9,Alistair Overeem,TKO (punches),UFC Fight Night: Jacare vs. Mousasi,"September 5, 2014",1,2:19
Ben Rothwell,Win,33–9,Brandon Vera,TKO (punches),UFC 164,"August 31, 2013",3,1:54
Ben Rothwell,Loss,32–9,Gabriel Gonzaga,Submission (guillotine choke),UFC on FX: Belfort vs. Bisping,"January 19, 2013",2,1:01
Ben Rothwell,Win,32–8,Brendan Schaub,KO (punches),UFC 145,"April 21, 2012",1,1:10
Ben Rothwell,Loss,31–8,Mark Hunt,Decision (unanimous),UFC 135,"September 24, 2011",3,5:00
Ben Rothwell,Win,31–7,Gilbert Yvel,Decision (unanimous),UFC 115,"June 12, 2010",3,5:00
Ben Rothwell,Loss,30–7,Cain Velasquez,TKO (punches),UFC 104,"October 24, 2009",2,0:58
Ben Rothwell,Win,30–6,Chris Guillen,Submission (elbows),Adrenaline MMA 2: Miletich vs. Denny,"December 11, 2008",1,3:30
Ben Rothwell,Loss,29–6,Andrei Arlovski,KO (punches),Affliction: Banned,"July 19, 2008",3,1:13
Ben Rothwell,Win,29–5,Ricco Rodriguez,Decision (unanimous),IFL: 2007 Team Championship final,"September 20, 2007",3,4:00
Ben Rothwell,Win,28–5,Krzysztof Soszyński,TKO (punches),IFL: 2007 semifinals,"August 2, 2007",1,0:13
Ben Rothwell,Win,27–5,Travis Fulton,Submission (kimura),IFL: Chicago,"May 19, 2007",2,3:11
Ben Rothwell,Win,26–5,Roy Nelson,Decision (split),IFL: Moline,"April 7, 2007",3,4:00
Ben Rothwell,Win,25–5,Matt Thompson,TKO (punches),IFL: Houston,"February 2, 2007",2,1:47
Ben Rothwell,Win,24–5,Devin Cole,KO (head kick),IFL: Championship final,"December 29, 2006",1,3:16
Ben Rothwell,Win,23–5,Wojtek Kaszowski,Submission (americana),IFL: World Championship semifinals,"November 2, 2006",1,3:14
Ben Rothwell,Win,22–5,Bryan Vetell,KO (punch),IFL: Gracie vs. Miletich,"September 23, 2006",1,3:17
Ben Rothwell,Win,21–5,Krzysztof Soszyński,TKO (punches),IFL: Legends Championship 2006,"April 29, 2006",1,3:59
Ben Rothwell,Win,20–5,Dan Bobish,KO (knee),GFC: Team Gracie vs Team Hammer House,"March 3, 2006",1,4:20
Ben Rothwell,Win,19–5,Joey Smith,Submission (punches),ISCF: Gladiators X,"February 24, 2006",1,N/A
Ben Rothwell,Win,18–5,Don Richard,TKO (punches),KOTC: Conquest,"December 3, 2005",1,3:32
Ben Rothwell,Win,17–5,Allan Weickert,TKO (punches),GFS: Fight Nite in the Flats,"September 17, 2005",1,3:45
Ben Rothwell,Loss,16–5,Dan Christison,Submission (kimura),Euphoria: USA vs World,"February 26, 2005",3,0:57
Ben Rothwell,Win,16–4,Jonathan Wiezorek,TKO (punches),Euphoria: Road to the Titles,"October 15, 2004",1,1:09
Ben Rothwell,Win,15–4,Matt Bear,Submission (punches),Ultimate Throwdown,"July 16, 2004",1,2:57
Ben Rothwell,Loss,14–4,Carlos Barreto,KO (head kick),Heat FC 1: Genesis,"July 31, 2003",1,N/A
Ben Rothwell,Win,14–3,Royce Louck,TKO (doctor stoppage),Freestyle Combat Challenge 11,"June 28, 2003",1,N/A
Ben Rothwell,Loss,13–3,Ibragim Magomedov,TKO (retirement),M-1 MFC: Russia vs. the World 4,"November 15, 2002",1,10:00
Ben Rothwell,Win,13–2,Travis Fulton,Submission (injury),Freestyle Combat Challenge 8,"October 4, 2002",1,5:00
Ben Rothwell,Win,12–2,Johnathan Ivey,TKO (doctor stoppage),USMMA 2: Ring of Fury,"September 21, 2002",1,1:14
Ben Rothwell,Loss,11–2,Mike Whitehead,Decision (unanimous),SB 24: Return of the Heavyweights 2,"April 27, 2002",2,5:00
Ben Rothwell,Win,11–1,Kerry Schall,TKO (neck injury),SB 24: Return of the Heavyweights 2,"April 27, 2002",2,2:10
Ben Rothwell,Win,10–1,Curtis Crawford,Submission (forearm choke),SB 24: Return of the Heavyweights 1,"April 26, 2002",1,1:03
Ben Rothwell,Win,9–1,Mike Priest,Submission (injury),Freestyle Combat Challenge 7,"March 23, 2002",1,N/A
Ben Rothwell,Win,8–1,Mike Radnov,TKO (doctor stoppage),Extreme Challenge 46,"February 16, 2002",1,5:54
Ben Rothwell,Win,7–1,Kerry Schall,Submission (injury),Extreme Challenge 46,"February 16, 2002",1,7:29
Ben Rothwell,Win,6–1,Mike Marshalleck,TKO (punches),Freestyle Combat Challenge 6,"January 5, 2002",1,0:38
Ben Rothwell,Win,5–1,Steve Hutson,Submission (arm-triangle choke),SC 8: Fight Night,"November 10, 2001",1,3:35
Ben Rothwell,Loss,4–1,Tim Sylvia,Decision (unanimous),Extreme Challenge 42,"August 24, 2001",3,5:00
Ben Rothwell,Win,4–0,Billy Herrington,Submission (knees),Iowa Challenge 2,"August 11, 2001",1,1:07
Ben Rothwell,Win,3–0,Darren Block,KO (punch),Dangerzone: Auburn,"April 28, 2001",1,0:16
Ben Rothwell,Win,2–0,Anthony Ferguson,TKO (referee stoppage),Dangerzone: Auburn,"April 28, 2001",1,1:00
Ben Rothwell,Win,1–0,Rob Shinkle,TKO (corner stoppage),Freestyle Combat Challenge 3,"January 6, 2001",1,0:21
Alex Caceres,Win,15–12 (1),Steven Peterson,Decision (unanimous),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",3,5:00
Alex Caceres,Loss,14–12 (1),Kron Gracie,Submission (rear-naked choke),UFC on ESPN: Ngannou vs. Velasquez,"February 17, 2019",1,2:06
Alex Caceres,Win,14–11 (1),Martín Bravo,Decision (split),The Ultimate Fighter: Undefeated Finale,"July 6, 2018",3,5:00
Alex Caceres,Loss,13–11 (1),Wang Guan,Decision (split),UFC Fight Night: Bisping vs. Gastelum,"November 25, 2017",3,5:00
Alex Caceres,Win,13–10 (1),Rolando Dy,TKO (doctor stoppage),UFC Fight Night: Holm vs. Correia,"June 17, 2017",2,5:00
Alex Caceres,Loss,12–10 (1),Jason Knight,Submission (rear-naked choke),UFC on Fox: Shevchenko vs. Peña,"January 28, 2017",2,4:21
Alex Caceres,Loss,12–9 (1),Yair Rodríguez,Decision (split),UFC Fight Night: Rodríguez vs. Caceres,"August 6, 2016",5,5:00
Alex Caceres,Win,12–8 (1),Cole Miller,Decision (unanimous),UFC 199,"June 4, 2016",3,5:00
Alex Caceres,Win,11–8 (1),Masio Fullen,Decision (unanimous),UFC on Fox: Johnson vs. Bader,"January 30, 2016",3,5:00
Alex Caceres,Loss,10–8 (1),Francisco Rivera,KO (punches),UFC Fight Night: Boetsch vs. Henderson,"June 6, 2015",1,0:21
Alex Caceres,Loss,10–7 (1),Masanori Kanehara,Decision (unanimous),UFC Fight Night: Hunt vs. Nelson,"September 20, 2014",3,5:00
Alex Caceres,Loss,10–6 (1),Urijah Faber,Submission (rear-naked choke),UFC 175,"July 5, 2014",3,1:09
Alex Caceres,Win,10–5 (1),Sergio Pettis,Submission (rear-naked choke),UFC on Fox: Henderson vs. Thomson,"January 25, 2014",3,4:39
Alex Caceres,Win,9–5 (1),Roland Delorme,Decision (split),UFC 165,"September 21, 2013",3,5:00
Alex Caceres,NC,8–5 (1),Kyung Ho Kang,NC (overturned),UFC on Fuel TV: Silva vs. Stann,"March 3, 2013",3,5:00
Alex Caceres,Win,8–5,Motonobu Tezuka,Decision (split),UFC on Fuel TV: Franklin vs. Le,"November 10, 2012",3,5:00
Alex Caceres,Win,7–5,Damacio Page,Submission (triangle choke),UFC on Fuel TV: Munoz vs. Weidman,"July 11, 2012",2,1:27
Alex Caceres,Loss,6–5,Edwin Figueroa,Decision (split),UFC 143,"February 4, 2012",3,5:00
Alex Caceres,Win,6–4,Cole Escovedo,Decision (unanimous),UFC on Fox: Velasquez vs. Dos Santos,"November 12, 2011",3,5:00
Alex Caceres,Loss,5–4,Jimy Hettes,Submission (rear-naked choke),UFC Live: Hardy vs. Lytle,"August 14, 2011",2,3:12
Alex Caceres,Loss,5–3,Mackens Semerzier,Submission (rear-naked choke),UFC Fight Night: Nogueira vs. Davis,"March 26, 2011",1,3:18
Alex Caceres,Win,5–2,Ketema Jahmal McLennan,TKO (punches),G-Force Fights: Bad Blood 3,"February 4, 2010",3,2:48
Alex Caceres,Loss,4–2,Matt McCook,Submission (armbar),WFC: Battle of the Bay 8,"July 10, 2009",2,3:56
Alex Caceres,Loss,4–1,Farkhad Sharipov,Submission (armbar),Best of the Best,"June 12, 2009",3,3:01
Alex Caceres,Win,4–0,Joel Garcia,Submission (triangle choke),XFN: Da Matta vs. Thorne,"May 14, 2009",1,1:05
Alex Caceres,Win,3–0,Eric Kovarik,Submission (rear-naked choke),KOTC: Hurricane,"February 21, 2009",1,1:58
Alex Caceres,Win,2–0,Tulio Quintanilla,TKO (punches),MFA: There Will Be Blood,"December 3, 2008",2,4:14
Alex Caceres,Win,1–0,Eric Luke,Submission (armbar),G-Force Fights: Bad Blood 1,"November 6, 2008",2,1:45
Steven Peterson,Loss,17–9,Alex Caceres,Decision (unanimous),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",3,5:00
Steven Peterson,Loss,17–8,Luis Peña,Decision (unanimous),UFC Fight Night: Thompson vs. Pettis,"March 23, 2019",3,5:00
Steven Peterson,Win,17–7,Matt Bessette,Decision (split),The Ultimate Fighter: Undefeated Finale,"July 6, 2018",3,5:00
Steven Peterson,Loss,16–7,Brandon Davis,Decision (unanimous),UFC Fight Night: Cowboy vs. Medeiros,"February 18, 2018",3,5:00
Steven Peterson,Win,16–6,Dustin Winter,TKO (punches),LFA 28,"December 8, 2017",2,2:38
Steven Peterson,Loss,15–6,Benito Lopez,Decision (split),Dana White's Tuesday Night Contender Series 7,"August 22, 2017",3,5:00
Steven Peterson,Win,15-5,Ryan Hollis,Submission (rear-naked choke),LFA 16,"July 14, 2017",2,1:43
Steven Peterson,Loss,14-5,Leandro Higo,Decision (unanimous),LFA 1,"January 13, 2017",5,5:00
Steven Peterson,Win,14-4,Manny Vasquez,Technical Submission (rear-naked choke),Legacy FC 56,"June 24, 2016",4,3:08
Steven Peterson,Win,13-4,Irwin Rivera,Decision (unanimous),Legacy FC 46,"October 2, 2015",3,5:00
Steven Peterson,Win,12-4,Caio Machado,Submission (guillotine choke),Legacy FC 38,"February 13, 2015",1,3:55
Steven Peterson,Win,11–4,Ray Rodriguez,Decision (unanimous),Legacy FC 33,"July 18, 2014",3,5:00
Steven Peterson,Win,10-4,Ray Rodriguez,TKO,Legacy FC 28,"February 21, 2014",2,n/a
Steven Peterson,Win,9–4,Nelson Salas,TKO (punches),Xtreme Knockout 19,"August 17, 2013",4,1:58
Steven Peterson,Loss,8–4,George Pacurariu,KO (punch),Legacy FC 19,"April 12, 2013",1,3:42
Steven Peterson,Loss,8–3,Matt Hobar,Decision (majority),Legacy FC 16,"December 14, 2012",3,5:00
Steven Peterson,Win,8–2,Cody Williams,Submission (omoplata),Legacy FC 14,"September 14, 2012",2,4:46
Steven Peterson,Win,7–2,Matt Hobar,TKO (arm injury),Legacy FC 13,"August 17, 2012",1,4:04
Steven Peterson,Loss,6–2,Chris Jones,Decision (split),Bellator 62,"March 23, 2012",3,5:00
Steven Peterson,Win,6–1,Steve Garcia,Submission (guillotine choke),Legacy FC 8,"September 16, 2011",1,1:40
Steven Peterson,Win,5–1,Alex Russ,Submission (rear-naked choke),Xtreme Knockout 11,"July 23, 2012",1,1:57
Steven Peterson,Win,4–1,Douglas Frey,Decision (majority),Xtreme Knockout 10,"April 9, 2012",4,1:11
Steven Peterson,Win,3–1,Quaint Kempf,Submission (armbar),Xtreme Knockout 9,"January 29, 2011",1,0:24
Steven Peterson,Loss,2–1,Brad Mitchell,Decision (unanimous),Xtreme Knockout 8,"October 9, 2010",3,3:00
Steven Peterson,Win,2–0,Ernest de la Cruz,Decision (unanimous),Bellator 27,"September 2, 2010",3,3:00
Steven Peterson,Win,1–0,Marcus Dupar,Submission (armbar),TCF: Puro Combate 1,"August 4, 2010",3,2:26
Raquel Pennington,Win,10–7,Irene Aldana,Decision (split),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",3,5:00
Raquel Pennington,Loss,9–7,Germaine de Randamie,Decision (unanimous),UFC Fight Night: Korean Zombie vs. Rodríguez,"November 10, 2018",3,5:00
Raquel Pennington,Loss,9–6,Amanda Nunes,TKO (punches),UFC 224,"May 12, 2018",5,2:36
Raquel Pennington,Win,9–5,Miesha Tate,Decision (unanimous),UFC 205,"November 12, 2016",3,5:00
Raquel Pennington,Win,8–5,Elizabeth Phillips,Decision (unanimous),UFC 202,"August 20, 2016",3,5:00
Raquel Pennington,Win,7–5,Bethe Correia,Decision (split),UFC on Fox: Teixeira vs. Evans,"April 16, 2016",3,5:00
Raquel Pennington,Win,6–5,Jéssica Andrade,Submission (rear-naked choke),UFC 191,"September 5, 2015",2,4:58
Raquel Pennington,Loss,5–5,Holly Holm,Decision (split),UFC 184,"February 28, 2015",3,5:00
Raquel Pennington,Win,5–4,Ashlee Evans-Smith,Technical Submission (bulldog choke),UFC 181,"December 6, 2014",1,4:59
Raquel Pennington,Loss,4–4,Jéssica Andrade,Decision (split),UFC 171,"March 15, 2014",3,5:00
Raquel Pennington,Win,4–3,Roxanne Modafferi,Decision (unanimous),The Ultimate Fighter: Team Rousey vs. Team Tate Finale,"November 30, 2013",3,5:00
Raquel Pennington,Loss,3–3,Leslie Smith,Decision (unanimous),Invicta FC: Esparza vs. Hyatt,"January 5, 2013",3,5:00
Raquel Pennington,Loss,3–2,Cat Zingano,Submission (rear-naked choke),Invicta FC: Penne vs. Sugiyama,"October 6, 2012",2,3:32
Raquel Pennington,Win,3–1,Raquel Pa'aluhi,Submission (guillotine choke),Destiny MMA: Na Koa 1,"September 8, 2012",1,3:52
Raquel Pennington,Win,2–1,Sarah Moras,Decision (unanimous),Invicta FC: Baszler vs. McMann,"July 28, 2012",3,5:00
Raquel Pennington,Loss,1–1,Tori Adams,Decision (unanimous),RMBB/TB: A Champion's Quest,"June 22, 2012",3,5:00
Raquel Pennington,Win,1–0,Kim Couture,TKO (knees),MFP: Vengeance,"March 13, 2012",2,2:25
Irene Aldana,Loss,10–5,Raquel Pennington,Decision (split),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",3,5:00
Irene Aldana,Win,10–4,Bethe Correia,Submission (armbar),UFC 237,"May 11, 2019",3,3:24
Irene Aldana,Win,9–4,Lucie Pudilová,Decision (split),UFC 228,"September 8, 2018",3,5:00
Irene Aldana,Win,8–4,Talita Bernardo,Decision (unanimous),UFC Fight Night: Stephens vs. Choi,"January 14, 2018",3,5:00
Irene Aldana,Loss,7–4,Katlyn Chookagian,Decision (split),UFC 210,"April 8, 2017",3,5:00
Irene Aldana,Loss,7–3,Leslie Smith,Decision (unanimous),UFC on Fox: VanZant vs. Waterson,"December 17, 2016",3,5:00
Irene Aldana,Win,7–2,Faith Van Duin,TKO (punches),Invicta FC 19: Maia vs. Modafferi,"September 23, 2016",1,4:57
Irene Aldana,Win,6–2,Jessamyn Duke,TKO (punches),Invicta FC 16: Hamasaki vs. Brown,"March 11, 2016",1,3:08
Irene Aldana,Loss,5–2,Tonya Evinger,TKO (punches),Invicta FC 13: Cyborg vs. Van Duin,"July 9, 2015",4,4:38
Irene Aldana,Win,5–1,Colleen Schneider,Submission (rear-naked choke),Invicta FC 11: Cyborg vs. Tweet,"February 27, 2015",1,1:05
Irene Aldana,Win,4–1,Peggy Morgan,Submission (rear-naked choke),Invicta FC 8: Waterson vs. Tamada,"September 9, 2014",1,2:50
